"              [,1]",Price,Open,High,Low,Change ,change_percent,
15/11/2019,6.495,6.526,6.53,6.449,-0.0037,-0.37,
22/11/2019,6.46,6.506,6.506,6.442,-0.0054,-0.54,
29/11/2019,6.661,6.463,6.668,6.448,0.0311,3.11,
06/12/2019,6.782,6.689,6.837,6.643,0.0182,1.82,
13/12/2019,6.598,6.767,6.801,6.555,-0.0271,-2.71,
20/12/2019,6.5,6.609,6.609,6.5,-0.0149,-1.49,
27/12/2019,6.51,6.501,6.559,6.485,0.0015,0.15,
03/01/2020,6.585,6.534,6.595,6.52,0.0115,1.15,
10/01/2020,6.622,6.588,6.692,6.581,0.0056,0.56,
17/01/2020,6.578,6.639,6.647,6.569,-0.0066,-0.66,
24/01/2020,6.599,6.549,6.6,6.547,0.0032,0.32,
01/02/2020,6.439,6.509,6.52,6.409,-0.0242,-2.42,
07/02/2020,6.369,6.432,6.488,6.367,-0.0109,-1.09,
14/02/2020,6.422,6.346,6.423,6.346,0.0083,0.83,
20/02/2020,6.371,6.384,6.404,6.326,-0.0079,-0.79,
28/02/2020,6.185,6.343,6.38,6.148,-0.0292,-2.92,
06/03/2020,6.322,6.094,6.355,5.995,0.0222,2.22,
13/03/2020,6.259,6.239,6.449,6.123,-0.01,-1,
20/03/2020,6.144,6.379,6.379,6.004,-0.0184,-1.84,
27/03/2020,6.306,6.19,6.315,6.079,0.0264,2.64,
31/03/2020,,,,,,,
