Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-09-01,CESC,EQ,523.95,519.5,519.9,502.6,512.4,512.3,510.11,401175,20464305345000.0,10722,144676,0.36060000000000003
2015-09-02,CESC,EQ,512.3,512.4,517.0,499.0,500.0,501.85,506.76,338442,17150910730000.002,10113,90895,0.2686
2015-09-03,CESC,EQ,501.85,501.85,516.5,499.25,510.85,509.8,509.44,264568,13478089344999.998,7657,82338,0.31120000000000003
2015-09-04,CESC,EQ,509.8,510.0,510.0,477.85,491.8,489.55,487.05,534272,26021906840000.0,15411,223024,0.41740000000000005
2015-09-07,CESC,EQ,489.55,505.0,505.0,482.1,482.95,485.65,491.08,206265,10129359160000.0,6989,40480,0.1963
2015-09-08,CESC,EQ,485.65,485.75,497.75,481.0,495.0,493.6,490.81,434949,21347540165000.0,12930,132618,0.3049
2015-09-09,CESC,EQ,493.6,497.75,503.65,493.1,496.9,496.55,498.4,300249,14964460350000.0,17872,86759,0.289
2015-09-10,CESC,EQ,496.55,493.0,493.0,478.9,486.35,485.3,485.28,451485,21909510785000.0,23208,234532,0.5195000000000001
2015-09-11,CESC,EQ,485.3,490.05,493.55,483.7,487.55,488.65,488.79,208889,10210282230000.0,7369,68359,0.3273
2015-09-14,CESC,EQ,488.65,490.0,514.0,485.6,507.0,506.2,506.17,492402,24923683530000.0,17920,151431,0.3075
2015-09-15,CESC,EQ,506.2,506.25,514.0,502.5,504.6,505.7,506.28,208408,10551231730000.0,7891,77200,0.3704
2015-09-16,CESC,EQ,505.7,509.45,517.0,504.5,510.25,512.65,512.26,291683,14941874930000.002,11183,110576,0.3791
2015-09-18,CESC,EQ,512.65,514.15,539.0,514.1,539.0,526.25,525.74,465401,24468074600000.0,14836,275031,0.5910000000000001
2015-09-21,CESC,EQ,526.25,529.05,551.5,526.2,545.0,548.35,543.59,370902,20161810305000.0,11606,118913,0.32060000000000005
2015-09-22,CESC,EQ,548.35,550.0,552.3,527.1,530.8,530.25,536.57,259966,13948984194999.998,9416,96613,0.3716
2015-09-23,CESC,EQ,530.25,520.0,538.9,515.05,538.9,534.2,529.81,321940,17056571950000.0,17654,66405,0.20629999999999998
2015-09-24,CESC,EQ,534.2,541.0,541.0,521.45,532.1,532.85,529.1,443157,23447311660000.0,12499,189686,0.428
2015-09-28,CESC,EQ,532.85,530.9,533.0,517.65,523.05,521.45,527.26,169666,8945767250000.0,7238,57935,0.34149999999999997
2015-09-29,CESC,EQ,521.45,514.1,533.2,500.5,515.0,517.2,514.79,547258,28172096025000.0,16569,227544,0.4158
2015-09-30,CESC,EQ,517.2,524.9,524.9,513.1,516.05,516.85,517.28,256615,13274262460000.0,11331,128106,0.49920000000000003
2015-10-01,CESC,EQ,516.85,516.2,529.65,516.2,518.25,518.45,522.3,366252,19129397955000.0,15170,111839,0.3054
2015-10-05,CESC,EQ,518.45,518.1,541.0,518.1,529.3,530.0,530.57,779006,41331544900000.0,33787,276312,0.3547
2015-10-06,CESC,EQ,530.0,530.9,569.4,530.9,555.0,557.15,554.75,1192460,66151803304999.99,29606,399032,0.3346
2015-10-07,CESC,EQ,557.15,557.5,570.4,543.1,566.0,566.05,558.96,477852,26709953050000.0,13264,143996,0.3013
2015-10-08,CESC,EQ,566.05,567.45,573.0,555.6,561.95,564.15,564.75,243777,13767353750000.0,8701,42868,0.17579999999999998
2015-10-09,CESC,EQ,564.15,564.15,584.1,564.15,582.45,580.05,576.16,359108,20690540675000.0,15679,94109,0.2621
2015-10-12,CESC,EQ,580.05,584.5,589.0,572.85,585.2,583.65,581.95,271815,15818408655000.002,9213,52818,0.1943
2015-10-13,CESC,EQ,583.65,584.0,595.0,577.0,585.6,588.0,584.94,166723,9752328740000.0,5771,40030,0.2401
2015-10-14,CESC,EQ,588.0,588.0,589.45,573.5,575.6,577.6,580.52,181974,10563980505000.0,5312,36921,0.2029
2015-10-15,CESC,EQ,577.6,577.55,583.8,564.0,579.0,573.6,572.54,388001,22214760110000.0,10595,169454,0.43670000000000003
2015-10-16,CESC,EQ,573.6,579.1,587.75,577.6,584.5,584.9,582.93,215585,12567014955000.0,8182,31638,0.1468
