Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-08,CESC,EQ,768.0,767.4,775.3,760.1,772.0,768.55,769.26,291484,22422769920000.0,13257,122483,0.4202
2019-07-09,CESC,EQ,768.55,768.55,788.95,765.75,786.0,785.4,783.71,593525,46514869215000.0,14577,204137,0.34390000000000004
2019-07-10,CESC,EQ,785.4,789.85,794.0,770.0,774.0,774.5,784.21,673637,52827255875000.0,15488,286577,0.4254
2019-07-11,CESC,EQ,774.5,775.0,788.45,775.0,786.0,785.7,783.67,391157,30653632330000.0,11617,200002,0.5113000000000001
2019-07-12,CESC,EQ,785.7,785.3,794.4,777.45,781.0,780.5,787.79,510564,40221575445000.0,33523,197020,0.3859
2019-07-15,CESC,EQ,780.5,784.4,786.0,770.85,784.0,784.55,779.67,173499,13527203269999.998,5657,48487,0.2795
2019-07-16,CESC,EQ,784.55,785.5,785.95,769.5,772.0,771.55,775.92,237820,18452921015000.0,11871,125766,0.5288
2019-07-17,CESC,EQ,771.55,775.0,788.8,773.3,783.3,783.7,783.18,221401,17339791475000.0,5817,65422,0.29550000000000004
2019-07-18,CESC,EQ,783.7,780.3,786.2,775.4,776.1,777.3,780.89,176240,13762401440000.0,7034,78762,0.44689999999999996
2019-07-19,CESC,EQ,777.3,782.0,783.9,752.55,758.0,762.35,770.31,183491,14134462890000.0,5605,53114,0.2895
2019-07-22,CESC,EQ,762.35,754.75,768.4,742.25,755.45,756.8,758.54,179133,13587928115000.0,5946,55899,0.3121
2019-07-23,CESC,EQ,756.8,757.0,757.85,737.6,748.5,749.4,745.86,281840,21021427030000.0,10073,75190,0.2668
2019-07-24,CESC,EQ,749.4,750.0,763.9,746.95,758.0,752.7,753.71,313596,23635929175000.0,8595,119121,0.3799
2019-07-25,CESC,EQ,752.7,757.4,763.5,753.05,761.0,760.25,759.74,161568,12275011740000.0,6586,72620,0.4495
2019-07-26,CESC,EQ,760.25,761.0,767.05,746.2,752.9,752.7,754.55,198039,14943067194999.998,5296,35727,0.1804
2019-07-29,CESC,EQ,752.7,750.2,754.95,731.35,732.0,734.8,743.18,149293,11095187965000.0,6949,34473,0.2309
2019-07-30,CESC,EQ,734.8,734.6,744.8,719.6,727.0,723.3,733.55,216648,15892318235000.0,10618,50993,0.2354
2019-07-31,CESC,EQ,723.3,718.5,747.05,714.7,741.6,744.1,735.48,225624,16594188865000.0,7350,56040,0.2484
2019-08-01,CESC,EQ,744.1,743.0,751.7,729.0,746.8,748.85,744.25,273811,20378290665000.0,7949,115121,0.4204
2019-08-02,CESC,EQ,748.85,743.15,756.2,724.2,751.25,750.85,741.48,192355,14262787755000.002,7551,43877,0.2281
2019-08-05,CESC,EQ,750.85,745.6,753.4,720.25,749.0,742.45,737.9,389427,28735738989999.996,15897,183550,0.47130000000000005
2019-08-06,CESC,EQ,742.45,738.2,761.0,738.2,753.65,753.0,753.56,205580,15491592694999.998,6979,22157,0.10779999999999999
2019-08-07,CESC,EQ,753.0,756.5,763.2,742.15,743.5,743.85,752.34,179724,13521399265000.0,6433,57783,0.3215
2019-08-08,CESC,EQ,743.85,746.0,758.9,742.75,754.5,753.95,753.93,345993,26085414460000.0,8382,193802,0.5601
2019-08-09,CESC,EQ,753.95,758.1,776.95,753.2,755.05,754.65,765.37,270587,20709868910000.0,7294,39052,0.1443
2019-08-13,CESC,EQ,754.65,755.0,770.65,737.05,741.0,740.6,750.33,221579,16625658344999.998,9609,69273,0.31260000000000004
2019-08-14,CESC,EQ,740.6,740.0,772.0,740.0,758.5,763.85,760.81,498841,37952537850000.0,21934,117298,0.23510000000000003
2019-08-16,CESC,EQ,763.85,758.3,811.95,755.9,790.0,788.95,794.8,1277371,101526015590000.0,38474,275915,0.21600000000000003
2019-08-19,CESC,EQ,788.95,793.85,817.15,791.05,796.7,798.2,805.73,1135957,91527947900000.0,32413,296991,0.2614
2019-08-20,CESC,EQ,798.2,800.0,801.95,764.45,777.35,778.25,778.55,598240,46575843130000.0,27451,194945,0.3259
2019-08-21,CESC,EQ,778.25,770.6,784.8,768.3,771.4,772.95,777.28,370022,28760990630000.0,19495,130791,0.35350000000000004
2019-08-22,CESC,EQ,772.95,766.0,778.0,750.3,755.95,755.6,762.74,398894,30425347350000.0,17777,78326,0.19640000000000002
2019-08-23,CESC,EQ,755.6,752.1,763.15,750.2,755.3,756.65,756.59,319398,24165179280000.0,13520,76976,0.24100000000000002
2019-08-26,CESC,EQ,756.65,771.95,776.4,746.8,770.7,769.6,763.22,332161,25351103295000.0,6228,27919,0.08410000000000001
